Item,Result,Documented,Where To Check,Notes/Reference
JavaScript uses accessibility standards.,Incomplete,No,Manual test with Chrome DevTools Lighthouse.,JavaScript accessibility best practices
Pages are mobile-friendly.,Incomplete,No,"Google Search Console Mobile-Friendly Test, Chrome DevTools Device Toolbar.",14 Mobile Optimization Best Practices You Need To Know
Clickable elements are not too close together.,Incomplete,No,Google Search Console Mobile-Friendly Test.,What Is User Experience? How Design Matters To SEO
Navigation should be usable without a mouse.,Incomplete,No,Manual test or BrowserStack.,"Keyboard Access Fundamentals 
Semantic HTML"
Site uses ARIA landmarks.,Incomplete,No,Manual test with Chrome DevTools Lighthouse.,ARIA landmarks principles and examples
Pages use skip-to-content / skip navigation links.,Incomplete,No,Manual test (Press tab key upon loading page; skip link should be the first link that appears.),Skip Navigation Links Best Practices
Video and audio have captions and transcripts.,Incomplete,No,Manual testing.,"Even if a video has subtitles, you should make a plain text transcript available on the page."
Video and audio have user-accessible controls.,Incomplete,No,Manual testing.,"Video and audio content controls 
It's easy to overlook background audio and video on a website, but it's critical that users can stop and control all multimedia elements of a website."
Site does not use strobing or flashing lights.,Incomplete,No,Manual testing.,Flashing lights standards to avoid seizures
Users can stop automatic scrolling.,Incomplete,No,Manual testing.,"Automatic scrolling standards
The standards state that users should be able to pause automatic scrolling unless it's part of a ""necessary"" activity, so there is a little bit of interpretation required here."
"Users can zoom in on the page, and text is accessible.",Incomplete,No,Manual testing.,"Test your website in browsers to see how it responds to being zoomed in. If you want to provide additional functionality, you can give users control over the size of text. 
Use simple, familiar fonts for text and relative font sizes in CSS. 
Making web text more accessible
 Typeface and font accessibility"
Site language should be identifiable in code.,Incomplete,No,Manual testing (Check HTML lang attributes.),"This is especially helpful if you have different language versions of pages.
For best accessibility with screen readers, WCAG recommends using the HTML lang attribute."
Input errors return descriptive results to the user.,Incomplete,No,Manual testing.,"If a user doesn't provide the correct input, make sure to describe what the problem is and what's expected of them in order to provide a valid input."
Color contrast meets WCAG guidelines.,Incomplete,No,"Tools like WebAIM, Accessible Web Contrast Checkers, or Chrome DevTools Lighthouse.","WCAG Contrast Checker 
WCAG Minimum Contrast
 WCAG Non-Text Contrast 
WCAG Enhanced Contrast"
Penalty Risk,,,,
The site has not been hacked.,Incomplete,No,Google Search Console Messages / manual testing.,"How to test whether your site has been hacked
Finding help for hacked websites"
The site is not stuffing keywords.,Incomplete,No,Manual testing.,"Google's guidelines on keyword stuffing
Keyword Stuffing As A Negative Ranking Factor"
The site's backlink profile is not a risk.,Incomplete,No,"Perform a backlink audit. Many SEO suites such as Semrush, Moz, Ahrefs, etc. can do this for you. Or you can do it yourself if you're familiar with Python.","A full backlink audit is beyond the scope of this worksheet, but the good news is that it should be easy to tell whether a website's backlink profile is a risk. Generally, this is only the case if you or the representatives of the website have directly engaged in link building tactics that are against Google's guidelines. 
The Dark Side Of Link Building 
Google's John Mueller On Negative SEO And Disavow 
Backlink Analysis With Python "
The site is not cloaking content.,Incomplete,No,"Screaming Frog Crawl / Google Search Console ""Security Issues"" Tool.","If your site is hacked, cloaking is one of the tactics hackers might use to make their efforts more difficult to detect and defeat.
Google's documentation on cloaking
Identifying And Fixing A Cloaking Hack"
Site uses Schema appropriately to avoid structured data penalties.,Incomplete,No,Schema checkers may not identify these issues. You should check this manually.,Structured Data Google Penalties
 ,,,,
